Rank,Who,Number of participations,Score,Level
1,tourist,146,3539,Legendary grandmaster
2,V--o_o--V,121,3338,Legendary grandmaster
3,Um_nik,165,3307,Legendary grandmaster
4,Petr,136,3297,Legendary grandmaster
5,ecnerwala,60,3282,Legendary grandmaster
6,LHiC,125,3266,Legendary grandmaster
7,wxhtxdy,95,3264,Legendary grandmaster
8,Radewoosh,117,3257,Legendary grandmaster
9,Vn_nV,16,3182,Legendary grandmaster
10,dotorya,78,3178,Legendary grandmaster
11,mnbvmar,71,3177,Legendary grandmaster
12,xyz111,17,3147,Legendary grandmaster
13,scott_wu,85,3079,Legendary grandmaster
14,300iq,90,3071,Legendary grandmaster
15,Benq,62,3065,Legendary grandmaster
16,aid,167,3063,Legendary grandmaster
17,sunset,32,3061,Legendary grandmaster
18,bmerry,60,3056,Legendary grandmaster
18,TLE,49,3056,Legendary grandmaster
20,SkyDec,53,3023,Legendary grandmaster
21,eds467,31,3015,Legendary grandmaster
22,fateice,28,3008,Legendary grandmaster
23,rng_58,117,3006,Legendary grandmaster
24,whzzt,31,2997,International Grandmaster
25,ainta,148,2986,International Grandmaster
26,RomaWhite,119,2977,International Grandmaster
27,yutaka1999,44,2975,International Grandmaster
28,stO,48,2971,International Grandmaster
29,yosupo,91,2966,International Grandmaster
30,jcvb,80,2938,International Grandmaster
31,shanquan2,40,2935,International Grandmaster
32,abacabadabacaba,52,2930,International Grandmaster
33,ko_osaga,89,2926,International Grandmaster
34,HIR180,96,2918,International Grandmaster
35,ksun48,130,2917,International Grandmaster
36,Endagorion,150,2907,International Grandmaster
37,TankEngineer,58,2904,International Grandmaster
38,Errichto,96,2902,International Grandmaster
39,SpyCheese,40,2884,International Grandmaster
40,Golovanov399,176,2866,International Grandmaster
41,Swistakk,138,2865,International Grandmaster
42,CauchySheep,9,2853,International Grandmaster
43,ch_egor,45,2848,International Grandmaster
44,cki86201,61,2846,International Grandmaster
45,uwi,251,2837,International Grandmaster
45,AwD,26,2837,International Grandmaster
47,PavelKunyavskiy,144,2830,International Grandmaster
47,maroonrk,10,2830,International Grandmaster
49,tqyaaaaang,58,2827,International Grandmaster
50,isaf27,53,2821,International Grandmaster
51,FizzyDavid,72,2814,International Grandmaster
52,zscoder,117,2809,International Grandmaster
53,Merkurev,124,2803,International Grandmaster
54,gs12117,60,2802,International Grandmaster
55,cz_xuyixuan,21,2797,International Grandmaster
56,JustasK,74,2793,International Grandmaster
57,krijgertje,30,2788,International Grandmaster
58,kostka,87,2784,International Grandmaster
59,geniucos,104,2783,International Grandmaster
60,xumingkuan,8,2782,International Grandmaster
60,majk,43,2782,International Grandmaster
